,0
11857,1
6480,3
25552,4
5783,3
16484,2
2005,4
14761,1
26396,4
549,2
14583,1
456,2
26376,4
7710,4
12470,1
22450,3
20262,3
3851,5
19892,2
13522,1
1940,4
3061,5
2084,4
11549,1
16100,2
13700,1
11691,1
12549,1
2505,5
9118,5
25512,4
26192,4
1155,4
1796,4
11444,1
24036,4
15752,2
6493,3
14488,1
21797,3
18416,2
17828,2
25415,4
10229,5
23687,3
4428,5
15358,2
21092,3
12276,1
22880,3
7082,4
10835,5
22371,3
11502,1
15848,2
24307,4
14070,1
11664,1
16996,2
3968,5
4112,5
18684,2
6556,3
22804,3
7804,4
10125,5
6728,3
5788,3
24504,4
12971,1
1420,4
11900,1
7248,4
16789,2
25015,4
9433,5
18141,2
16900,2
10048,5
10005,5
7624,4
6389,3
1923,4
6530,3
13203,1
18200,2
23446,3
10798,5
6135,3
24947,4
21946,3
13107,1
12740,1
3946,5
25758,4
8730,5
23073,3
7179,4
17514,2
3898,5
17473,2
12945,1
284,2
8450,5
6108,3
23066,3
11991,1
20408,3
24768,4
10407,5
14127,1
2217,5
10111,5
11274,1
12772,1
20865,3
8543,5
13059,1
6256,3
859,3
25438,4
46,1
5076,1
17426,2
12993,1
6075,3
21191,3
23820,3
17172,2
403,2
8639,5
3251,5
7245,4
17533,2
24575,4
2178,4
22999,3
15149,1
26343,4
11236,1
5037,1
8374,5
5843,3
5218,1
3090,5
15407,2
6307,3
14607,1
24570,4
1653,4
7332,4
15942,2
16714,2
17415,2
15350,2
5344,1
19244,2
4006,5
12691,1
1164,4
26263,4
24264,4
2306,5
10745,5
20232,3
7907,4
22425,3
1153,4
26493,4
8893,5
18205,2
1919,4
3653,5
23148,3
1173,4
16872,2
837,3
22914,3
13919,1
6442,3
11238,1
21105,3
17262,2
9539,5
6093,3
6700,3
6515,3
25614,4
19974,2
15015,1
16882,2
26028,4
20312,3
14627,1
13421,1
11707,1
21282,3
7600,4
25820,4
7787,4
13972,1
24933,4
536,2
22819,3
17421,2
6310,3
5609,2
10712,5
17781,2
20795,3
15419,2
7578,4
14722,1
17998,2
19383,2
14642,1
309,2
20873,3
9009,5
9444,5
7850,4
8714,5
22846,3
3545,5
19640,2
1750,4
4386,5
14024,1
21147,3
19684,2
17428,2
24384,4
17427,2
15530,2
7374,4
460,2
17887,2
1454,4
24972,4
12770,1
9384,5
4689,5
4960,1
6822,3
3958,5
5228,1
13580,1
17221,2
23772,3
853,3
24621,4
25373,4
6979,4
16263,2
9778,5
16246,2
6357,3
2062,4
8455,5
17208,2
23417,3
19631,2
370,2
17979,2
1510,4
24818,4
25247,4
11496,1
7724,4
1197,4
8959,5
16961,2
10813,5
19666,2
2848,5
18543,2
11718,1
16281,2
8069,4
18106,2
3074,5
4326,5
13367,1
14718,1
16580,2
22774,3
20762,3
15397,2
16159,2
25242,4
17976,2
9406,5
4837,1
3859,5
5840,3
16946,2
9867,5
2298,5
22879,3
2951,5
16902,2
24732,4
1559,4
15117,1
2978,5
24300,4
24142,4
10549,5
18665,2
24256,4
25110,4
17517,2
18238,2
16552,2
149,1
7512,4
701,3
4335,5
25181,4
20256,3
21492,3
16873,2
1939,4
5645,2
11541,1
15825,2
13825,1
17506,2
7944,4
19543,2
18518,2
11552,1
10996,1
15000,1
15623,2
24013,4
15930,2
15989,2
6774,3
24685,4
25525,4
2967,5
11383,1
11872,1
24913,4
15875,2
1242,4
4780,1
19871,2
1646,4
20333,3
15262,1
928,3
8558,5
10382,5
5377,1
23261,3
18801,2
26366,4
20806,3
8053,4
21598,3
23183,3
8580,5
25391,4
12182,1
15184,1
983,3
26337,4
11868,1
17825,2
8814,5
9048,5
13492,1
24942,4
1805,4
22085,3
15939,2
6843,4
13607,1
5548,2
4401,5
13513,1
627,3
6281,3
8117,4
13254,1
5866,3
25316,4
10026,5
14247,1
17429,2
16854,2
8341,5
21958,3
24569,4
24658,4
4180,5
9129,5
13695,1
5499,1
1334,4
1551,4
4260,5
5127,1
14146,1
17162,2
26777,4
7769,4
17943,2
6088,3
22101,3
5914,3
3979,5
5932,3
24687,4
7861,4
9203,5
18829,2
18207,2
26838,4
12567,1
15680,2
5671,2
5301,1
1641,4
17494,2
15543,2
1509,4
9674,5
6488,3
25364,4
17217,2
25156,4
9529,5
23754,3
10031,5
8248,5
24638,4
1600,4
13143,1
6967,4
8122,4
18843,2
14022,1
5046,1
16276,2
5657,2
15763,2
4176,5
1854,4
19229,2
8996,5
9442,5
13797,1
21230,3
11419,1
23268,3
26004,4
14915,1
7564,4
19,1
26594,4
13063,1
8805,5
19766,2
15430,2
10524,5
2341,5
5885,3
20075,2
13610,1
21832,3
625,3
16439,2
8350,5
1667,4
17076,2
21425,3
8916,5
6796,3
3326,5
22163,3
24008,4
17258,2
26539,4
15394,2
791,3
15915,2
6815,3
3456,5
20965,3
62,1
9523,5
1362,4
12036,1
22634,3
21770,3
13257,1
25738,4
15451,2
13401,1
10678,5
4124,5
8400,5
14537,1
25368,4
20141,3
8719,5
6684,3
22487,3
24637,4
19509,2
13428,1
5195,1
5988,3
16513,2
25671,4
15127,1
5633,2
15177,1
8774,5
6667,3
12282,1
7893,4
23617,3
2984,5
12486,1
22119,3
17927,2
12161,1
20731,3
18132,2
99,1
20898,3
1095,3
1958,4
26840,4
7990,4
25689,4
14805,1
25046,4
2234,5
18870,2
14553,1
25362,4
17229,2
23033,3
20311,3
22817,3
131,1
18965,2
16602,2
13771,1
22565,3
23758,3
1492,4
13306,1
15551,2
7998,4
23107,3
603,2
17295,2
25301,4
12915,1
7269,4
1684,4
8440,5
3212,5
10479,5
3093,5
23335,3
11799,1
14469,1
23379,3
4899,1
25939,4
20166,3
9596,5
21533,3
13507,1
3464,5
26575,4
7606,4
14487,1
15910,2
7703,4
18414,2
21448,3
17790,2
8870,5
24386,4
17982,2
23555,3
9400,5
1735,4
15336,2
7719,4
22498,3
17679,2
25322,4
8881,5
25605,4
14291,1
13371,1
33,1
203,1
22673,3
1764,4
5461,1
19700,2
2042,4
5282,1
20520,3
6456,3
10873,5
8865,5
10864,5
7645,4
8214,5
4374,5
18476,2
6086,3
10764,5
16507,2
10160,5
506,2
25403,4
23063,3
20999,3
3691,5
503,2
14643,1
14400,1
17318,2
22803,3
3334,5
4142,5
8831,5
24020,4
6881,4
12573,1
14373,1
14876,1
124,1
2423,5
5142,1
24085,4
1221,4
618,3
186,1
8945,5
17245,2
868,3
20012,2
23438,3
12077,1
17505,2
18036,2
1322,4
4752,5
3205,5
4740,5
8812,5
14333,1
11614,1
23262,3
1596,4
22237,3
2295,5
18558,2
12039,1
11001,1
2316,5
23631,3
26406,4
8514,5
18969,2
16031,2
9032,5
23646,3
21033,3
26527,4
2862,5
2524,5
744,3
20667,3
2132,4
2800,5
2632,5
11764,1
12291,1
12008,1
11960,1
6931,4
8669,5
26058,4
24360,4
5637,2
14995,1
15325,2
18168,2
9851,5
381,2
9880,5
20684,3
17795,2
5386,1
10234,5
15028,1
12807,1
11733,1
16331,2
12403,1
19312,2
19081,2
12994,1
7346,4
26171,4
13648,1
21887,3
8835,5
13069,1
22071,3
10611,5
622,3
9821,5
387,2
37,1
6668,3
18321,2
4100,5
9238,5
21280,3
4207,5
14230,1
11582,1
5135,1
18569,2
2432,5
9705,5
13641,1
18100,2
22178,3
23559,3
1318,4
14188,1
12996,1
25007,4
22436,3
18109,2
22210,3
3474,5
25505,4
5793,3
6265,3
17316,2
5091,1
9131,5
19553,2
10957,1
1789,4
111,1
17150,2
10622,5
25061,4
10875,5
19163,2
12520,1
9514,5
2478,5
20024,2
20190,3
1265,4
3325,5
12346,1
15704,2
18434,2
11156,1
25292,4
15857,2
22566,3
20625,3
6019,3
5940,3
2032,4
1049,3
5545,2
17307,2
5615,2
23655,3
24745,4
8385,5
16929,2
22501,3
3782,5
9989,5
23550,3
25260,4
10132,5
25277,4
8418,5
17233,2
605,3
9292,5
11220,1
2784,5
23291,3
18331,2
5239,1
25433,4
17441,2
13039,1
24622,4
14997,1
26297,4
13995,1
23410,3
2289,5
15602,2
8987,5
19911,2
19109,2
14043,1
25123,4
14835,1
25896,4
1126,4
5515,2
7001,4
9378,5
6172,3
23979,4
15076,1
19339,2
14711,1
2836,5
213,1
5948,3
25530,4
23929,4
22253,3
11027,1
12900,1
6203,3
18077,2
25724,4
1182,4
25567,4
25157,4
19860,2
8458,5
17712,2
14530,1
10154,5
14364,1
20900,3
13464,1
11113,1
7888,4
5745,3
20859,3
24991,4
16360,2
14402,1
12409,1
14096,1
1781,4
6459,3
18185,2
2115,4
25807,4
16239,2
20808,3
13958,1
12326,1
10768,5
5725,3
9889,5
6470,3
16575,2
21424,3
20575,3
2017,4
20213,3
19410,2
26298,4
26199,4
21456,3
24168,4
14669,1
14029,1
9714,5
17531,2
24206,4
14913,1
22542,3
8936,5
20541,3
26540,4
9661,5
6174,3
7158,4
10945,1
23401,3
23766,3
25594,4
8571,5
23274,3
23057,3
5777,3
15307,2
20107,2
2237,5
12341,1
97,1
19496,2
20804,3
20805,3
24514,4
4110,5
23186,3
13339,1
812,3
4370,5
515,2
12988,1
24642,4
8723,5
16210,2
3233,5
11834,1
18928,2
8234,5
17890,2
24336,4
20210,3
21339,3
14789,1
20515,3
21537,3
25297,4
9777,5
18860,2
25992,4
5972,3
22309,3
25006,4
26870,4
16149,2
3465,5
16346,2
19915,2
20391,3
20482,3
5680,2
20070,2
1496,4
19262,2
7409,4
4450,5
15300,2
16361,2
3606,5
7127,4
24379,4
3563,5
2039,4
19014,2
8224,5
15459,2
16817,2
2022,4
17285,2
12796,1
360,2
3507,5
8338,5
19419,2
6940,4
2908,5
24809,4
3887,5
15714,2
23644,3
21901,3
51,1
26709,4
10563,5
17552,2
16103,2
3905,5
19818,2
12658,1
19061,2
11404,1
26487,4
9875,5
1533,4
11586,1
23850,3
4246,5
19959,2
20942,3
356,2
14344,1
9063,5
12822,1
179,1
2274,5
21766,3
23141,3
21243,3
21709,3
11676,1
19299,2
18342,2
12870,1
15108,1
16841,2
6746,3
811,3
19736,2
22171,3
19110,2
24762,4
19741,2
11578,1
25328,4
11979,1
4693,5
24806,4
2531,5
10158,5
24538,4
23097,3
1518,4
18638,2
23371,3
10448,5
9667,5
10582,5
23199,3
21800,3
22780,3
16146,2
21487,3
20176,3
14318,1
17068,2
2160,4
18485,2
18108,2
6863,4
8729,5
18159,2
22380,3
22496,3
5719,3
4164,5
22952,3
3173,5
12099,1
646,3
15992,2
1712,4
11173,1
16063,2
9291,5
7156,4
5040,1
21740,3
10961,1
9840,5
26229,4
18594,2
11758,1
11121,1
10907,5
10925,1
12723,1
18754,2
17707,2
7155,4
337,2
21378,3
23525,3
11929,1
12434,1
3646,5
14246,1
7534,4
22500,3
2137,4
11919,1
23530,3
11934,1
8677,5
23611,3
215,1
13751,1
6225,3
4392,5
7105,4
931,3
15354,2
25366,4
25073,4
2795,5
18424,2
20433,3
3603,5
14628,1
5556,2
2373,5
23019,3
16342,2
3276,5
16233,2
18412,2
6626,3
18706,2
25075,4
9147,5
21697,3
18471,2
23689,3
189,1
25622,4
15935,2
23630,3
18757,2
26801,4
6514,3
24230,4
18751,2
11085,1
4327,5
25224,4
19099,2
11060,1
20753,3
20870,3
25311,4
518,2
8459,5
9543,5
22289,3
318,2
22736,3
11350,1
20211,3
801,3
19571,2
8001,4
14054,1
7671,4
16940,2
6793,3
13590,1
6358,3
18930,2
4533,5
11589,1
8394,5
3701,5
3305,5
6806,3
2455,5
21650,3
947,3
12756,1
4563,5
12618,1
17615,2
18722,2
21523,3
21837,3
22900,3
14349,1
72,1
14480,1
19848,2
1707,4
11369,1
18341,2
22485,3
20140,3
14849,1
2156,4
5688,2
26531,4
15822,2
5527,2
16487,2
11103,1
3072,5
2956,5
20157,3
25945,4
3965,5
23683,3
2622,5
2333,5
14388,1
8255,5
19600,2
25401,4
4607,5
22368,3
2485,5
1115,3
20340,3
5258,1
12837,1
26558,4
12360,1
25155,4
25309,4
10319,5
25608,4
26024,4
13538,1
1244,4
719,3
11254,1
2271,5
23730,3
15536,2
2863,5
20319,3
1881,4
15166,1
4756,5
9336,5
19151,2
10784,5
5921,3
10325,5
22179,3
6644,3
7436,4
11170,1
3774,5
18748,2
7403,4
21277,3
2294,5
22786,3
15830,2
20901,3
4208,5
16227,2
25107,4
6391,3
25654,4
10697,5
2181,4
12920,1
7742,4
6179,3
10080,5
17154,2
11621,1
5764,3
21686,3
23431,3
4911,1
4262,5
7292,4
24103,4
12024,1
16686,2
22899,3
18952,2
12849,1
22742,3
7240,4
24175,4
15931,2
14781,1
4357,5
18423,2
25519,4
9464,5
8105,4
12323,1
7094,4
8371,5
20417,3
786,3
13229,1
18884,2
23969,4
25987,4
12088,1
15305,2
17695,2
21163,3
4782,1
14100,1
13334,1
6501,3
16812,2
7966,4
14713,1
3557,5
22305,3
6938,4
414,2
18028,2
18700,2
16353,2
8907,5
19255,2
22090,3
12377,1
23870,4
7554,4
6632,3
2378,5
20504,3
21148,3
17794,2
2011,4
20495,3
24497,4
9340,5
610,3
17210,2
5134,1
7955,4
15708,2
21865,3
10409,5
6810,3
18753,2
7092,4
23773,3
23992,4
15475,2
19401,2
25919,4
16731,2
17819,2
3024,5
21602,3
14887,1
24033,4
18406,2
22098,3
11462,1
20248,3
12645,1
6269,3
7462,4
7008,4
17936,2
4493,5
7265,4
5585,2
16494,2
3521,5
4147,5
2883,5
4353,5
2568,5
22194,3
18453,2
17522,2
15603,2
2195,5
10297,5
20969,3
8095,4
21405,3
22607,3
12038,1
5551,2
16437,2
16068,2
14187,1
21674,3
9204,5
24483,4
18916,2
24,1
4918,1
14508,1
14863,1
20144,3
26831,4
20696,3
10523,5
22054,3
17653,2
8565,5
21017,3
26584,4
3304,5
21211,3
12094,1
6291,3
5245,1
15041,1
19313,2
17074,2
1018,3
15230,1
24988,4
13978,1
22246,3
2070,4
1617,4
5223,1
15446,2
4042,5
15352,2
10572,5
13230,1
15244,1
7298,4
17310,2
377,2
5321,1
19329,2
18186,2
9322,5
871,3
9679,5
5652,2
2942,5
17714,2
5818,3
23535,3
19748,2
16454,2
3597,5
4670,5
25264,4
19131,2
14419,1
21578,3
13385,1
25122,4
3013,5
14319,1
19955,2
23425,3
22025,3
24039,4
15734,2
24365,4
17468,2
25948,4
14953,1
2473,5
14260,1
17740,2
4410,5
22627,3
960,3
7285,4
5501,1
22235,3
716,3
17191,2
16101,2
7561,4
21603,3
10340,5
14147,1
13786,1
25766,4
800,3
17535,2
13081,1
18073,2
9036,5
11794,1
4133,5
2389,5
22549,3
21587,3
3314,5
225,1
20172,3
22481,3
2463,5
5408,1
6388,3
17090,2
8632,5
5133,1
7175,4
8326,5
15102,1
10923,1
26665,4
15624,2
1511,4
25410,4
4062,5
13137,1
2349,5
12224,1
21834,3
12447,1
3118,5
13171,1
18872,2
3991,5
26431,4
20743,3
13295,1
22039,3
25534,4
12678,1
13223,1
5580,2
3154,5
14523,1
1402,4
16389,2
20307,3
24842,4
8720,5
15344,2
8084,4
18504,2
2970,5
24219,4
5009,1
2774,5
6405,3
19675,2
8548,5
9466,5
23487,3
4882,1
7026,4
2443,5
22834,3
16423,2
2490,5
18631,2
1490,4
17065,2
9998,5
20398,3
12408,1
23391,3
4818,1
10955,1
16469,2
5307,1
26408,4
24740,4
8964,5
20835,3
17591,2
20227,3
5534,2
21971,3
10982,1
20455,3
8924,5
12973,1
2727,5
4830,1
8755,5
7571,4
3504,5
22579,3
17270,2
18293,2
24705,4
8006,4
13561,1
6400,3
6770,3
3827,5
10874,5
18029,2
3517,5
3047,5
13225,1
1094,3
23851,3
14574,1
7474,4
19002,2
13690,1
2600,5
20235,3
6216,3
1556,4
18780,2
12734,1
5693,2
23258,3
22017,3
12679,1
8995,5
9243,5
7810,4
24233,4
2013,4
11590,1
22718,3
23254,3
10788,5
24981,4
1117,4
22744,3
14784,1
6283,3
12748,1
7614,4
13502,1
15453,2
23422,3
10783,5
5064,1
3509,5
11551,1
15005,1
16396,2
16654,2
12395,1
24969,4
10775,5
14023,1
8691,5
16827,2
282,2
11557,1
13765,1
17935,2
83,1
17187,2
25610,4
3394,5
22905,3
14332,1
11360,1
6742,3
6041,3
10172,5
10692,5
21708,3
9117,5
19327,2
4729,5
12002,1
16466,2
19080,2
1850,4
19599,2
12717,1
16069,2
13774,1
3896,5
14112,1
10307,5
325,2
19580,2
2980,5
10213,5
5518,2
5781,3
1729,4
16225,2
12668,1
1356,4
15758,2
16784,2
20749,3
23933,4
7682,4
19149,2
14298,1
25476,4
17001,2
19142,2
24698,4
15256,1
25814,4
863,3
1624,4
4286,5
19442,2
7370,4
17912,2
14285,1
23084,3
1219,4
797,3
9465,5
11298,1
22779,3
1417,4
14490,1
11178,1
10446,5
20720,3
1237,4
9285,5
2004,4
5510,2
688,3
1552,4
1541,4
3200,5
16728,2
25413,4
12729,1
10927,1
1910,4
6211,3
22992,3
18917,2
26421,4
24553,4
9983,5
10865,5
10929,1
4029,5
13592,1
742,3
6049,3
19053,2
5216,1
9183,5
16796,2
16083,2
14966,1
13524,1
18901,2
4476,5
20603,3
8228,5
10244,5
19231,2
15559,2
18601,2
22711,3
22672,3
22131,3
16174,2
4602,5
25932,4
8010,4
12440,1
12767,1
18526,2
21151,3
1932,4
18803,2
25790,4
9713,5
22573,3
9641,5
14576,1
10169,5
14499,1
7917,4
23948,4
18268,2
3416,5
22401,3
6895,4
15064,1
19722,2
13818,1
30,1
24405,4
23278,3
21878,3
14660,1
18365,2
8034,4
5641,2
23233,3
7334,4
23908,4
3399,5
13300,1
18743,2
522,2
10236,5
15872,2
11782,1
25904,4
17872,2
23818,3
15245,1
23026,3
13530,1
26629,4
13224,1
25397,4
6612,3
13456,1
6962,4
25915,4
17149,2
12087,1
16131,2
14765,1
18415,2
20675,3
15281,2
6676,3
24254,4
12288,1
23432,3
18653,2
6928,4
1895,4
20337,3
9537,5
10647,5
26019,4
18325,2
4041,5
2713,5
7594,4
4535,5
16105,2
7309,4
18110,2
21795,3
11336,1
17951,2
10422,5
7965,4
7101,4
14902,1
25370,4
10433,5
16719,2
6227,3
685,3
9195,5
17127,2
10032,5
21200,3
13989,1
4402,5
2681,5
20206,3
4338,5
12523,1
25208,4
9489,5
2367,5
3552,5
22038,3
14201,1
6460,3
2733,5
5346,1
11086,1
18996,2
8703,5
12223,1
25720,4
7677,4
24723,4
4216,5
561,2
24186,4
20587,3
10220,5
3245,5
11795,1
4119,5
17911,2
22755,3
15417,2
7208,4
9297,5
2247,5
8457,5
489,2
6025,3
15673,2
15396,2
25630,4
14532,1
19169,2
4557,5
24107,4
15385,2
13831,1
23708,3
12162,1
19068,2
13233,1
16674,2
6458,3
20032,2
11870,1
26812,4
12050,1
6353,3
2,1
6653,3
21530,3
19446,2
22141,3
5675,2
10487,5
24790,4
14638,1
3067,5
3565,5
15759,2
21463,3
24931,4
14971,1
23171,3
26078,4
26823,4
16643,2
3065,5
22864,3
26332,4
2782,5
26830,4
10434,5
26532,4
11648,1
319,2
9391,5
15183,1
21739,3
4523,5
15373,2
10685,5
11682,1
10605,5
20628,3
20842,3
18606,2
20730,3
11625,1
4010,5
9092,5
4971,1
3595,5
6253,3
21483,3
3558,5
5497,1
6386,3
25174,4
19555,2
23012,3
26292,4
16182,2
7197,4
14708,1
11211,1
13785,1
9303,5
5782,3
25357,4
2704,5
19209,2
6230,3
21890,3
19402,2
24843,4
9104,5
14851,1
18887,2
13770,1
11284,1
2416,5
22392,3
15316,2
18678,2
12359,1
6166,3
11010,1
16022,2
3930,5
19582,2
21873,3
6321,3
16126,2
13952,1
13694,1
15796,2
19735,2
23458,3
13586,1
3570,5
14421,1
16115,2
8211,5
18840,2
6587,3
1353,4
19145,2
9310,5
18771,2
10652,5
4676,5
19499,2
8441,5
2413,5
14242,1
25138,4
19484,2
21607,3
18516,2
7508,4
2095,4
16739,2
26329,4
14636,1
24688,4
11415,1
17625,2
19297,2
829,3
3476,5
26525,4
2529,5
18533,2
17820,2
16650,2
25395,4
23260,3
1351,4
23079,3
3216,5
7096,4
13054,1
2645,5
3628,5
9719,5
6710,3
2126,4
23345,3
9410,5
7495,4
4777,1
255,1
16071,2
13373,1
26182,4
8319,5
4669,5
22896,3
1315,4
9701,5
7286,4
7373,4
23427,3
6872,4
12042,1
18456,2
15438,2
3041,5
5413,1
3813,5
19888,2
14500,1
9946,5
1963,4
21154,3
24490,4
7465,4
17037,2
6168,3
17052,2
9664,5
3175,5
1027,3
896,3
14044,1
1301,4
12763,1
2164,4
12505,1
9375,5
24892,4
10890,5
470,2
16503,2
16649,2
21886,3
5901,3
5681,2
13439,1
4603,5
5254,1
22456,3
24190,4
14871,1
2842,5
1226,4
20110,2
5785,3
11643,1
7689,4
12878,1
17864,2
22703,3
17836,2
11469,1
21065,3
2819,5
25784,4
15224,1
12237,1
17511,2
16560,2
5248,1
1259,4
153,1
2995,5
13212,1
13314,1
19982,2
14436,1
2133,4
25132,4
11140,1
1468,4
17510,2
20439,3
20100,2
11109,1
18715,2
15063,1
9044,5
23364,3
11412,1
22158,3
24594,4
6136,3
22575,3
7086,4
26448,4
554,2
2348,5
16217,2
4608,5
1014,3
25480,4
22854,3
5773,3
11144,1
21331,3
15574,2
19221,2
19698,2
3264,5
1744,4
23448,3
1629,4
11294,1
26528,4
653,3
4704,5
20096,2
11030,1
6622,3
8569,5
25448,4
15539,2
21924,3
17561,2
24140,4
26494,4
